Month;Hyodyke_new;Point figure;Annual change (%);Monthly change (%);Annual impact (%-units);Monthly impact (%-units);Date
2010M05;0 CONSUMER PRICE INDEX;99,87;NA;-0,13;NA;-0,129;2010-05-01
2010M05;01 FOOD AND NON-ALCOHOLIC BEVERAGES;98,76;NA;-1,78;NA;-0,239;2010-05-01
2010M05;02 ALCOHOLIC BEVERAGES, TOBACCO;99,74;NA;-0,07;NA;-0,003;2010-05-01
2010M05;03 CLOTHING AND FOOTWEAR;101,90;NA;-0,71;NA;-0,038;2010-05-01
2010M05;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;99,25;NA;0,57;NA;0,130;2010-05-01
2010M05;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;99,71;NA;0,01;NA;0,000;2010-05-01
2010M05;06 HEALTH;100,42;NA;0,15;NA;0,007;2010-05-01
2010M05;07 TRANSPORT;100,06;NA;0,00;NA;-0,001;2010-05-01
2010M05;08 COMMUNICATION;101,52;NA;3,43;NA;0,080;2010-05-01
2010M05;09 RECREATION AND CULTURE;100,08;NA;-0,45;NA;-0,057;2010-05-01
2010M05;10 EDUCATION;98,70;NA;0,00;NA;0,000;2010-05-01
2010M05;11 RESTAURANTS AND HOTELS;101,22;NA;-0,03;NA;-0,002;2010-05-01
2010M05;12 MISCELLANEOUS GOODS AND SERVICES;99,72;NA;-0,10;NA;-0,006;2010-05-01
2010M06;0 CONSUMER PRICE INDEX;99,97;NA;0,10;NA;0,100;2010-06-01
2010M06;01 FOOD AND NON-ALCOHOLIC BEVERAGES;98,76;NA;0,00;NA;0,000;2010-06-01
2010M06;02 ALCOHOLIC BEVERAGES, TOBACCO;99,73;NA;-0,01;NA;0,000;2010-06-01
2010M06;03 CLOTHING AND FOOTWEAR;101,34;NA;-0,54;NA;-0,029;2010-06-01
2010M06;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;99,85;NA;0,60;NA;0,137;2010-06-01
2010M06;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;99,67;NA;-0,04;NA;-0,002;2010-06-01
2010M06;06 HEALTH;100,22;NA;-0,19;NA;-0,009;2010-06-01
2010M06;07 TRANSPORT;100,55;NA;0,48;NA;0,064;2010-06-01
2010M06;08 COMMUNICATION;100,33;NA;-1,17;NA;-0,028;2010-06-01
2010M06;09 RECREATION AND CULTURE;99,83;NA;-0,24;NA;-0,031;2010-06-01
2010M06;10 EDUCATION;98,70;NA;0,00;NA;0,000;2010-06-01
2010M06;11 RESTAURANTS AND HOTELS;101,37;NA;0,14;NA;0,010;2010-06-01
2010M06;12 MISCELLANEOUS GOODS AND SERVICES;99,53;NA;-0,19;NA;-0,012;2010-06-01
2010M07;0 CONSUMER PRICE INDEX;99,29;NA;-0,68;NA;-0,680;2010-07-01
2010M07;01 FOOD AND NON-ALCOHOLIC BEVERAGES;98,42;NA;-0,34;NA;-0,045;2010-07-01
2010M07;02 ALCOHOLIC BEVERAGES, TOBACCO;100,03;NA;0,30;NA;0,017;2010-07-01
2010M07;03 CLOTHING AND FOOTWEAR;93,23;NA;-8,00;NA;-0,430;2010-07-01
2010M07;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;100,26;NA;0,41;NA;0,093;2010-07-01
2010M07;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;98,88;NA;-0,79;NA;-0,044;2010-07-01
2010M07;06 HEALTH;98,78;NA;-1,43;NA;-0,071;2010-07-01
2010M07;07 TRANSPORT;101,14;NA;0,58;NA;0,076;2010-07-01
2010M07;08 COMMUNICATION;101,45;NA;1,11;NA;0,026;2010-07-01
2010M07;09 RECREATION AND CULTURE;99,30;NA;-0,53;NA;-0,065;2010-07-01
2010M07;10 EDUCATION;98,70;NA;0,00;NA;0,000;2010-07-01
2010M07;11 RESTAURANTS AND HOTELS;98,04;NA;-3,28;NA;-0,234;2010-07-01
2010M07;12 MISCELLANEOUS GOODS AND SERVICES;99,52;NA;-0,01;NA;0,000;2010-07-01
2010M08;0 CONSUMER PRICE INDEX;99,79;NA;0,50;NA;0,503;2010-08-01
2010M08;01 FOOD AND NON-ALCOHOLIC BEVERAGES;98,57;NA;0,15;NA;0,020;2010-08-01
2010M08;02 ALCOHOLIC BEVERAGES, TOBACCO;100,08;NA;0,04;NA;0,002;2010-08-01
2010M08;03 CLOTHING AND FOOTWEAR;97,97;NA;5,08;NA;0,253;2010-08-01
2010M08;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;100,97;NA;0,70;NA;0,163;2010-08-01
2010M08;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;100,03;NA;1,16;NA;0,065;2010-08-01
2010M08;06 HEALTH;99,47;NA;0,69;NA;0,034;2010-08-01
2010M08;07 TRANSPORT;100,16;NA;-0,96;NA;-0,128;2010-08-01
2010M08;08 COMMUNICATION;103,15;NA;1,67;NA;0,041;2010-08-01
2010M08;09 RECREATION AND CULTURE;99,41;NA;0,11;NA;0,013;2010-08-01
2010M08;10 EDUCATION;98,70;NA;0,00;NA;0,000;2010-08-01
2010M08;11 RESTAURANTS AND HOTELS;98,59;NA;0,56;NA;0,039;2010-08-01
2010M08;12 MISCELLANEOUS GOODS AND SERVICES;99,66;NA;0,14;NA;0,009;2010-08-01
2010M09;0 CONSUMER PRICE INDEX;100,34;NA;0,55;NA;0,551;2010-09-01
2010M09;01 FOOD AND NON-ALCOHOLIC BEVERAGES;100,07;NA;1,52;NA;0,201;2010-09-01
2010M09;02 ALCOHOLIC BEVERAGES, TOBACCO;100,10;NA;0,01;NA;0,001;2010-09-01
2010M09;03 CLOTHING AND FOOTWEAR;102,43;NA;4,55;NA;0,237;2010-09-01
2010M09;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;101,02;NA;0,04;NA;0,011;2010-09-01
2010M09;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;100,69;NA;0,65;NA;0,037;2010-09-01
2010M09;06 HEALTH;100,04;NA;0,57;NA;0,028;2010-09-01
2010M09;07 TRANSPORT;100,16;NA;0,00;NA;0,000;2010-09-01
2010M09;08 COMMUNICATION;99,28;NA;-3,75;NA;-0,093;2010-09-01
2010M09;09 RECREATION AND CULTURE;99,86;NA;0,45;NA;0,055;2010-09-01
2010M09;10 EDUCATION;102,60;NA;3,95;NA;0,019;2010-09-01
2010M09;11 RESTAURANTS AND HOTELS;98,40;NA;-0,19;NA;-0,013;2010-09-01
2010M09;12 MISCELLANEOUS GOODS AND SERVICES;100,46;NA;0,80;NA;0,054;2010-09-01
2010M10;0 CONSUMER PRICE INDEX;100,74;NA;0,39;NA;0,398;2010-10-01
2010M10;01 FOOD AND NON-ALCOHOLIC BEVERAGES;100,92;NA;0,84;NA;0,113;2010-10-01
2010M10;02 ALCOHOLIC BEVERAGES, TOBACCO;100,21;NA;0,10;NA;0,006;2010-10-01
2010M10;03 CLOTHING AND FOOTWEAR;103,51;NA;1,05;NA;0,057;2010-10-01
2010M10;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;101,30;NA;0,27;NA;0,063;2010-10-01
2010M10;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,24;NA;0,54;NA;0,031;2010-10-01
2010M10;06 HEALTH;100,65;NA;0,60;NA;0,030;2010-10-01
2010M10;07 TRANSPORT;100,34;NA;0,17;NA;0,023;2010-10-01
2010M10;08 COMMUNICATION;97,87;NA;-1,42;NA;-0,033;2010-10-01
2010M10;09 RECREATION AND CULTURE;100,24;NA;0,38;NA;0,046;2010-10-01
2010M10;10 EDUCATION;102,60;NA;0,00;NA;0,000;2010-10-01
2010M10;11 RESTAURANTS AND HOTELS;99,10;NA;0,71;NA;0,049;2010-10-01
2010M10;12 MISCELLANEOUS GOODS AND SERVICES;100,66;NA;0,19;NA;0,013;2010-10-01
2010M11;0 CONSUMER PRICE INDEX;100,99;NA;0,24;NA;0,248;2010-11-01
2010M11;01 FOOD AND NON-ALCOHOLIC BEVERAGES;101,91;NA;0,98;NA;0,131;2010-11-01
2010M11;02 ALCOHOLIC BEVERAGES, TOBACCO;100,24;NA;0,02;NA;0,001;2010-11-01
2010M11;03 CLOTHING AND FOOTWEAR;103,94;NA;0,41;NA;0,022;2010-11-01
2010M11;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;101,70;NA;0,39;NA;0,090;2010-11-01
2010M11;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,40;NA;0,15;NA;0,009;2010-11-01
2010M11;06 HEALTH;100,52;NA;-0,12;NA;-0,006;2010-11-01
2010M11;07 TRANSPORT;100,40;NA;0,05;NA;0,007;2010-11-01
2010M11;08 COMMUNICATION;97,15;NA;-0,73;NA;-0,017;2010-11-01
2010M11;09 RECREATION AND CULTURE;100,01;NA;-0,22;NA;-0,028;2010-11-01
2010M11;10 EDUCATION;102,60;NA;0,00;NA;0,000;2010-11-01
2010M11;11 RESTAURANTS AND HOTELS;99,59;NA;0,49;NA;0,034;2010-11-01
2010M11;12 MISCELLANEOUS GOODS AND SERVICES;100,74;NA;0,07;NA;0,005;2010-11-01
2010M12;0 CONSUMER PRICE INDEX;101,41;NA;0,41;NA;0,415;2010-12-01
2010M12;01 FOOD AND NON-ALCOHOLIC BEVERAGES;102,95;NA;1,02;NA;0,137;2010-12-01
2010M12;02 ALCOHOLIC BEVERAGES, TOBACCO;100,26;NA;0,01;NA;0,001;2010-12-01
2010M12;03 CLOTHING AND FOOTWEAR;103,31;NA;-0,60;NA;-0,033;2010-12-01
2010M12;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;102,17;NA;0,46;NA;0,106;2010-12-01
2010M12;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,27;NA;-0,12;NA;-0,007;2010-12-01
2010M12;06 HEALTH;100,60;NA;0,07;NA;0,003;2010-12-01
2010M12;07 TRANSPORT;101,79;NA;1,38;NA;0,179;2010-12-01
2010M12;08 COMMUNICATION;98,20;NA;1,08;NA;0,024;2010-12-01
2010M12;09 RECREATION AND CULTURE;100,02;NA;0,00;NA;0,001;2010-12-01
2010M12;10 EDUCATION;102,60;NA;0,00;NA;0,000;2010-12-01
2010M12;11 RESTAURANTS AND HOTELS;99,42;NA;-0,17;NA;-0,011;2010-12-01
2010M12;12 MISCELLANEOUS GOODS AND SERVICES;100,94;NA;0,19;NA;0,013;2010-12-01
2011M01;0 CONSUMER PRICE INDEX;101,78;3,03;0,36;3,037;0,364;2011-01-01
2011M01;01 FOOD AND NON-ALCOHOLIC BEVERAGES;104,08;4,62;1,09;0,623;0,149;2011-01-01
2011M01;02 ALCOHOLIC BEVERAGES, TOBACCO;100,86;1,00;0,59;0,057;0,033;2011-01-01
2011M01;03 CLOTHING AND FOOTWEAR;95,99;3,54;-7,08;0,176;-0,383;2011-01-01
2011M01;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;103,97;6,04;1,76;1,370;0,405;2011-01-01
2011M01;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;100,46;1,81;-0,79;0,103;-0,045;2011-01-01
2011M01;06 HEALTH;100,18;1,03;-0,41;0,051;-0,020;2011-01-01
2011M01;07 TRANSPORT;102,11;3,91;0,31;0,508;0,041;2011-01-01
2011M01;08 COMMUNICATION;99,88;-1,73;1,71;-0,042;0,039;2011-01-01
2011M01;09 RECREATION AND CULTURE;99,93;0,05;-0,08;0,006;-0,010;2011-01-01
2011M01;10 EDUCATION;102,62;4,00;0,01;0,020;0,000;2011-01-01
2011M01;11 RESTAURANTS AND HOTELS;100,78;0,15;1,36;0,011;0,094;2011-01-01
2011M01;12 MISCELLANEOUS GOODS AND SERVICES;101,87;2,22;0,92;0,151;0,061;2011-01-01
2011M02;0 CONSUMER PRICE INDEX;102,40;3,32;0,60;3,329;0,609;2011-02-01
2011M02;01 FOOD AND NON-ALCOHOLIC BEVERAGES;106,38;6,91;2,20;0,929;0,302;2011-02-01
2011M02;02 ALCOHOLIC BEVERAGES, TOBACCO;100,61;0,65;-0,24;0,037;-0,013;2011-02-01
2011M02;03 CLOTHING AND FOOTWEAR;98,47;2,73;2,58;0,140;0,129;2011-02-01
2011M02;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;104,14;5,99;0,16;1,356;0,038;2011-02-01
2011M02;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,26;2,24;0,79;0,127;0,044;2011-02-01
2011M02;06 HEALTH;100,21;0,47;0,02;0,023;0,001;2011-02-01
2011M02;07 TRANSPORT;102,18;4,33;0,06;0,559;0,008;2011-02-01
2011M02;08 COMMUNICATION;99,93;-2,24;0,05;-0,055;0,001;2011-02-01
2011M02;09 RECREATION AND CULTURE;100,20;0,02;0,27;0,003;0,032;2011-02-01
2011M02;10 EDUCATION;102,62;4,00;0,00;0,020;0,000;2011-02-01
2011M02;11 RESTAURANTS AND HOTELS;101,45;0,25;0,66;0,018;0,046;2011-02-01
2011M02;12 MISCELLANEOUS GOODS AND SERVICES;102,06;2,37;0,18;0,161;0,012;2011-02-01
2011M03;0 CONSUMER PRICE INDEX;102,96;3,30;0,54;3,300;0,546;2011-03-01
2011M03;01 FOOD AND NON-ALCOHOLIC BEVERAGES;106,70;6,65;0,30;0,895;0,041;2011-03-01
2011M03;02 ALCOHOLIC BEVERAGES, TOBACCO;100,59;0,65;-0,01;0,037;-0,001;2011-03-01
2011M03;03 CLOTHING AND FOOTWEAR;101,63;0,53;3,20;0,028;0,163;2011-03-01
2011M03;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;104,58;6,19;0,42;1,396;0,098;2011-03-01
2011M03;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,99;2,35;0,72;0,134;0,040;2011-03-01
2011M03;06 HEALTH;100,30;0,21;0,08;0,010;0,004;2011-03-01
2011M03;07 TRANSPORT;103,76;4,73;1,54;0,613;0,201;2011-03-01
2011M03;08 COMMUNICATION;99,29;0,33;-0,64;0,007;-0,014;2011-03-01
2011M03;09 RECREATION AND CULTURE;100,02;-0,57;-0,17;-0,072;-0,021;2011-03-01
2011M03;10 EDUCATION;102,62;4,00;0,00;0,020;0,000;2011-03-01
2011M03;11 RESTAURANTS AND HOTELS;101,78;0,64;0,32;0,045;0,022;2011-03-01
2011M03;12 MISCELLANEOUS GOODS AND SERVICES;102,26;2,73;0,19;0,183;0,013;2011-03-01
2011M04;0 CONSUMER PRICE INDEX;103,16;3,16;0,19;3,159;0,194;2011-04-01
2011M04;01 FOOD AND NON-ALCOHOLIC BEVERAGES;106,73;6,14;0,02;0,827;0,003;2011-04-01
2011M04;02 ALCOHOLIC BEVERAGES, TOBACCO;100,53;0,72;-0,05;0,040;-0,003;2011-04-01
2011M04;03 CLOTHING AND FOOTWEAR;102,42;-0,20;0,77;-0,011;0,040;2011-04-01
2011M04;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;104,83;6,23;0,23;1,403;0,055;2011-04-01
2011M04;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,27;2,57;0,27;0,146;0,015;2011-04-01
2011M04;06 HEALTH;100,74;0,47;0,43;0,023;0,021;2011-04-01
2011M04;07 TRANSPORT;104,33;4,25;0,54;0,555;0,072;2011-04-01
2011M04;08 COMMUNICATION;98,79;0,65;-0,50;0,015;-0,011;2011-04-01
2011M04;09 RECREATION AND CULTURE;99,77;-0,76;-0,24;-0,095;-0,030;2011-04-01
2011M04;10 EDUCATION;103,19;4,54;0,55;0,022;0,002;2011-04-01
2011M04;11 RESTAURANTS AND HOTELS;101,88;0,61;0,09;0,043;0,006;2011-04-01
2011M04;12 MISCELLANEOUS GOODS AND SERVICES;102,59;2,77;0,32;0,186;0,021;2011-04-01
2011M05;0 CONSUMER PRICE INDEX;103,21;3,34;0,04;3,344;0,048;2011-05-01
2011M05;01 FOOD AND NON-ALCOHOLIC BEVERAGES;105,80;7,12;-0,87;0,944;-0,120;2011-05-01
2011M05;02 ALCOHOLIC BEVERAGES, TOBACCO;100,58;0,84;0,04;0,047;0,002;2011-05-01
2011M05;03 CLOTHING AND FOOTWEAR;102,02;0,11;-0,39;0,006;-0,020;2011-05-01
2011M05;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;105,63;6,42;0,76;1,458;0,177;2011-05-01
2011M05;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,26;2,55;0,00;0,145;0,000;2011-05-01
2011M05;06 HEALTH;100,78;0,35;0,03;0,017;0,001;2011-05-01
2011M05;07 TRANSPORT;103,97;3,90;-0,34;0,510;-0,045;2011-05-01
2011M05;08 COMMUNICATION;98,57;-2,90;-0,22;-0,070;-0,005;2011-05-01
2011M05;09 RECREATION AND CULTURE;99,69;-0,38;-0,08;-0,048;-0,009;2011-05-01
2011M05;10 EDUCATION;103,19;4,54;0,00;0,022;0,000;2011-05-01
2011M05;11 RESTAURANTS AND HOTELS;102,28;1,04;0,39;0,074;0,027;2011-05-01
2011M05;12 MISCELLANEOUS GOODS AND SERVICES;103,28;3,56;0,67;0,240;0,045;2011-05-01
2011M06;0 CONSUMER PRICE INDEX;103,51;3,54;0,29;3,541;0,290;2011-06-01
2011M06;01 FOOD AND NON-ALCOHOLIC BEVERAGES;106,23;7,56;0,40;1,000;0,055;2011-06-01
2011M06;02 ALCOHOLIC BEVERAGES, TOBACCO;100,62;0,89;0,03;0,050;0,002;2011-06-01
2011M06;03 CLOTHING AND FOOTWEAR;100,42;-0,90;-1,56;-0,048;-0,082;2011-06-01
2011M06;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;106,43;6,58;0,75;1,502;0,176;2011-06-01
2011M06;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,95;2,28;-0,30;0,129;-0,017;2011-06-01
2011M06;06 HEALTH;100,75;0,52;-0,02;0,026;-0,001;2011-06-01
2011M06;07 TRANSPORT;104,82;4,24;0,81;0,557;0,107;2011-06-01
2011M06;08 COMMUNICATION;97,47;-2,85;-1,11;-0,068;-0,025;2011-06-01
2011M06;09 RECREATION AND CULTURE;99,82;-0,01;0,13;-0,001;0,015;2011-06-01
2011M06;10 EDUCATION;103,19;4,54;0,00;0,022;0,000;2011-06-01
2011M06;11 RESTAURANTS AND HOTELS;102,98;1,58;0,68;0,113;0,047;2011-06-01
2011M06;12 MISCELLANEOUS GOODS AND SERVICES;103,40;3,88;0,11;0,260;0,007;2011-06-01
2011M07;0 CONSUMER PRICE INDEX;103,22;3,95;-0,28;3,958;-0,280;2011-07-01
2011M07;01 FOOD AND NON-ALCOHOLIC BEVERAGES;105,20;6,88;-0,96;0,914;-0,133;2011-07-01
2011M07;02 ALCOHOLIC BEVERAGES, TOBACCO;100,60;0,56;-0,01;0,032;-0,001;2011-07-01
2011M07;03 CLOTHING AND FOOTWEAR;94,07;0,90;-6,32;0,044;-0,325;2011-07-01
2011M07;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;106,92;6,64;0,46;1,530;0,108;2011-07-01
2011M07;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;101,54;2,69;-0,40;0,152;-0,022;2011-07-01
2011M07;06 HEALTH;100,75;1,99;0,00;0,098;0,000;2011-07-01
2011M07;07 TRANSPORT;105,05;3,86;0,21;0,513;0,028;2011-07-01
2011M07;08 COMMUNICATION;99,40;-2,02;1,98;-0,049;0,044;2011-07-01
2011M07;09 RECREATION AND CULTURE;99,84;0,54;0,02;0,067;0,002;2011-07-01
2011M07;10 EDUCATION;103,19;4,54;0,00;0,022;0,000;2011-07-01
2011M07;11 RESTAURANTS AND HOTELS;103,06;5,12;0,07;0,356;0,005;2011-07-01
2011M07;12 MISCELLANEOUS GOODS AND SERVICES;103,54;4,03;0,13;0,272;0,009;2011-07-01
2011M08;0 CONSUMER PRICE INDEX;103,62;3,83;0,38;3,838;0,387;2011-08-01
2011M08;01 FOOD AND NON-ALCOHOLIC BEVERAGES;105,16;6,68;-0,03;0,884;-0,005;2011-08-01
2011M08;02 ALCOHOLIC BEVERAGES, TOBACCO;100,59;0,50;0,00;0,029;0,000;2011-08-01
2011M08;03 CLOTHING AND FOOTWEAR;100,35;2,42;6,67;0,126;0,322;2011-08-01
2011M08;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,72;6,68;0,74;1,543;0,176;2011-08-01
2011M08;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,47;2,43;0,91;0,139;0,051;2011-08-01
2011M08;06 HEALTH;100,92;1,45;0,16;0,072;0,008;2011-08-01
2011M08;07 TRANSPORT;104,39;4,22;-0,62;0,552;-0,083;2011-08-01
2011M08;08 COMMUNICATION;98,26;-4,74;-1,14;-0,117;-0,026;2011-08-01
2011M08;09 RECREATION AND CULTURE;98,79;-0,62;-1,05;-0,076;-0,126;2011-08-01
2011M08;10 EDUCATION;103,19;4,54;0,00;0,022;0,000;2011-08-01
2011M08;11 RESTAURANTS AND HOTELS;103,37;4,84;0,30;0,337;0,021;2011-08-01
2011M08;12 MISCELLANEOUS GOODS AND SERVICES;104,40;4,75;0,83;0,320;0,056;2011-08-01
2011M09;0 CONSUMER PRICE INDEX;104,05;3,69;0,41;3,697;0,414;2011-09-01
2011M09;01 FOOD AND NON-ALCOHOLIC BEVERAGES;106,05;5,97;0,84;0,798;0,115;2011-09-01
2011M09;02 ALCOHOLIC BEVERAGES, TOBACCO;101,13;1,02;0,53;0,058;0,029;2011-09-01
2011M09;03 CLOTHING AND FOOTWEAR;104,55;2,06;4,18;0,112;0,215;2011-09-01
